"Date","Opening Index","Highest Index","Lowest Index","Closing Index",
"2022/03/01","17,657.50","17,944.50","17,657.50","17,898.25",
"2022/03/02","17,864.11","17,918.98","17,784.64","17,867.60",
"2022/03/03","17,932.15","18,026.03","17,906.24","17,934.40",
"2022/03/04","17,845.01","17,845.01","17,710.54","17,736.52",
"2022/03/07","17,581.57","17,581.57","17,135.68","17,178.69",
"2022/03/08","17,000.00","17,113.67","16,764.78","16,825.25",
"2022/03/09","16,944.08","17,072.74","16,944.08","17,015.36",
"2022/03/10","17,224.73","17,478.43","17,224.73","17,433.20",
"2022/03/11","17,373.82","17,373.90","17,239.90","17,264.74",
"2022/03/14","17,287.90","17,363.04","17,217.58","17,263.04",
"2022/03/15","17,177.27","17,177.27","16,911.95","16,926.06",
"2022/03/16","17,007.58","17,085.77","16,808.43","16,940.83",
"2022/03/17","17,172.81","17,472.95","17,172.81","17,448.22",
"2022/03/18","17,439.91","17,472.38","17,359.50","17,456.52",
"2022/03/21","17,503.95","17,603.99","17,503.95","17,560.36",
"2022/03/22","17,512.41","17,573.29","17,468.55","17,559.71",
"2022/03/23","17,581.62","17,738.69","17,581.62","17,731.37",
"2022/03/24","17,711.17","17,711.17","17,603.22","17,699.06",
"2022/03/25","17,695.80","17,747.13","17,633.86","17,676.95",
"2022/03/28","17,510.15","17,527.15","17,368.66","17,520.01",
"2022/03/29","17,568.32","17,585.91","17,493.01","17,548.66",
"2022/03/30","17,572.90","17,770.07","17,572.90","17,740.56",
"2022/03/31","17,754.10","17,767.81","17,682.53","17,693.47",
