Time,TAIEX,Non-Finance Sub-index,Non-Electronics Sub-index,Non-Finance Non-Electronics Sub-Index,Cement,Food,Plastic,Textile,Electric Machinery,Electrical and Cable,"Chemical, Biotechnology, and Medical Care",Chemical,Biotechnology and Medical Care,Glass and Ceramic,Paper and Pulp,Iron and Steel,Rubber,Automobile,Electronics,Semiconductor,Computer and Peripheral Equipment,Optoelectronic,Communications and Internet,Electronic Parts/Components,Electronic Products Distribution,Information Service,Other Electronic,Building Material and Construction,Shipping and Transportation,Tourism,Finance and Insurance,Department Stores,"Oil, Gas and Electricity",Other
9:00:00 AM,17693.47,"15,157.71","20,507.52","16,819.23",194.8,"1,874.42",293.01,595.71,235.54,87.88,123.79,153.33,67.14,65.23,389.85,186.49,280.06,323.02,826.8,410.27,142.03,38.58,137.21,190.12,206.47,130.3,99.63,379.1,262.97,96.08,"1,878.00",311.64,123.04,390.1
9:00:05 AM,17657.76,"15,123.56","20,464.47","16,770.49",194.8,"1,872.64",290.86,595.37,235.37,87.81,123.84,153.5,67.11,64.6,389.24,185.72,280.06,321.48,825.17,409.51,141.85,38.54,136.94,189.23,206.2,130.21,99.57,378.95,261.29,96.05,"1,877.33",311.64,123.04,389.79
9:00:10 AM,17535.82,"15,005.41","20,444.82","16,750.68",194.48,"1,871.38",291.4,593.12,234.97,87.16,123.79,153.49,67.04,64.6,388.64,185.53,279.5,321.29,816.31,403.25,141.88,38.44,136.73,188.79,205.89,130.23,98.88,377.78,260.86,96.05,"1,876.43",311.27,123.04,388.67
9:00:15 AM,17512.21,"14,989.13","20,410.14","16,733.73",194.15,"1,869.81",291.21,590.78,234.21,87.16,123.63,153.31,66.94,64.69,388.64,185.31,279.32,323.67,815.39,403.02,141.33,38.38,136.56,188.38,205.18,130.33,98.77,377.68,260.61,95.76,"1,870.46",311.36,123.03,387.14
9:00:20 AM,17495.34,"14,976.49","20,390.78","16,724.48",193.98,"1,869.93",291.2,590.47,234.08,87.06,123.63,153.35,66.92,64.5,388.78,185.32,278.95,321.42,814.6,402.7,141,38.3,136.54,188.03,205.14,130.33,98.75,377.46,260.67,95.65,"1,867.07",311.03,123.02,387.05
9:00:25 AM,17493.3,"14,974.52","20,387.31","16,720.39",193.75,"1,869.93",291.18,590.47,234.18,87.1,123.62,153.33,66.92,64.5,388.6,185.1,278.93,321.45,814.53,402.65,140.93,38.27,136.84,187.9,205.11,130.34,98.75,377.56,260.59,95.65,"1,867.06",311.01,122.9,387.01
9:00:30 AM,17494.32,"14,976.33","20,383.41","16,718.64",193.75,"1,869.93",291.19,590.38,234.14,87.01,123.67,153.46,66.9,64.41,388.6,185.23,279.21,321.45,814.71,402.67,140.97,38.26,136.81,187.86,205.31,130.34,99.05,377.67,260.37,95.63,"1,866.35",311.01,122.9,386.85
9:00:35 AM,17502,"14,984.66","20,386.32","16,725.15",193.74,"1,869.93",291.29,590.39,234.28,87.01,123.69,153.51,66.9,64.41,388.29,185.22,279.05,321.42,815.23,403.19,140.95,38.24,136.79,187.95,205.36,130.34,98.74,377.61,260.87,95.66,"1,865.61",311.04,122.9,386.96
9:00:40 AM,17485.15,"14,971.15","20,369.83","16,716.08",193.51,"1,869.93",291.06,591.6,234.33,87.08,123.67,153.47,66.9,64.41,388.29,185.08,278.9,321.28,814.36,402.6,140.84,38.22,136.75,187.93,205.18,130.34,98.73,377.69,260.63,95.68,"1,863.01",311.04,122.9,386.16
9:00:45 AM,17497.29,"14,981.80","20,375.68","16,718.71",193.58,"1,869.93",291.18,591.6,234.31,87.07,123.71,153.57,66.89,64.41,388.29,185.03,279.17,321.27,815.14,403.14,140.77,38.22,136.78,188.16,205.21,130.34,98.74,377.65,260.76,95.67,"1,864.08",311.05,122.9,386.17
9:00:50 AM,17497.88,"14,982.88","20,374.79","16,719.43",193.58,"1,869.93",291.17,592.88,234.29,87.01,123.72,153.51,66.93,64.41,388.08,185.05,279.13,321.25,815.21,403.11,140.76,38.23,136.82,188.22,205.37,130.34,98.83,377.6,260.58,95.68,"1,863.64",310.9,122.9,386.52
9:00:55 AM,17508.19,"14,992.18","20,380.44","16,723.39",193.69,"1,869.86",291.16,591.92,234.26,87.02,123.75,153.59,66.94,64.41,388.08,185.25,279.13,321.25,815.86,403.65,140.87,38.21,136.81,188.16,205.29,130.34,98.73,377.57,260.84,95.67,"1,864.32",311.14,122.9,386.54
9:01:00 AM,17508.3,"14,992.31","20,379.09","16,721.91",193.69,"1,869.82",291.15,591.84,234.33,87.01,123.77,153.62,66.93,64.52,388.08,185.28,279.13,321.23,815.9,403.67,140.85,38.22,136.81,188.2,205.3,130.34,98.73,377.57,260.81,95.66,"1,864.29",310.44,122.9,386.54
9:01:05 AM,17509.51,"14,993.33","20,376.81","16,718.58",193.58,"1,869.10",291.14,591.87,234.11,87.13,123.75,153.55,66.96,64.52,387.94,185.17,278.97,321.25,816.05,403.7,140.84,38.21,136.79,188.12,205.44,130.28,99.04,377.5,260.77,95.65,"1,864.44",310.61,122.9,386.37
9:01:10 AM,17508.75,"14,991.85","20,380.85","16,720.73",194.03,"1,868.98",291.14,591.51,233.99,87.21,123.76,153.6,66.93,64.52,387.94,185.23,278.97,321.21,815.89,403.65,140.87,38.22,136.82,188.19,205.52,130.28,98.73,377.41,260.87,95.65,"1,865.09",310.62,122.9,386.42
9:01:15 AM,17507.04,"14,990.14","20,377.11","16,716.15",193.69,"1,867.47",291.15,591.5,233.94,87.21,123.79,153.67,66.93,64.63,387.94,185.12,279.08,321.2,815.86,403.63,140.84,38.22,136.87,188.18,205.41,130.28,98.73,377.37,260.8,95.65,"1,865.12",310.45,122.78,386.39
9:01:20 AM,17505.07,"14,988.79","20,378.18","16,719.46",193.63,"1,867.47",291.29,591.14,233.94,87.17,123.83,153.68,66.98,64.63,387.94,185.23,279.08,321.14,815.68,403.62,140.78,38.21,136.88,187.84,205.41,130.28,98.74,377.39,260.96,95.62,"1,864.62",310.45,122.78,386.45
9:01:25 AM,17501.25,"14,984.75","20,390.04","16,732.55",193.74,"1,867.10",291.37,591.13,233.92,87.18,123.81,153.64,66.98,64.63,387.94,185.28,279.74,321.14,815.07,403.12,140.78,38.21,136.87,187.93,205.41,130.28,98.75,377.4,261.9,95.71,"1,864.89",310.71,122.9,386.46
9:01:30 AM,17497.39,"14,982.04","20,381.15","16,725.74",193.58,"1,866.88",291.07,590.87,233.84,87.03,123.86,153.69,67.01,64.63,387.94,185.23,279.72,321.08,815.01,403.12,140.73,38.21,136.79,187.91,205.4,130.28,98.75,377.24,261.75,95.72,"1,863.96",310.42,122.9,386.46
9:01:35 AM,17506.89,"14,990.74","20,382.65","16,725.45",193.51,"1,867.17",290.96,590.87,233.86,87.04,123.83,153.69,66.98,64.63,387.94,185.2,279.67,321.08,815.7,403.67,140.69,38.21,136.75,187.94,205.47,130.26,98.73,377.24,261.87,95.7,"1,864.47",310.42,122.9,386.42
